Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;24;;2;1;;0;A;1;Chiquitita;327;;1978
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;24;;2;1;;0;B;1;Lovelight;226;;1978
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;25;;2;1;;0;A;1;So long;184;;1974
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;25;;2;1;;0;B;1;I' ve been waiting for you;218;;1974
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;26;;2;1;;0;A;1;SOS;0;;1975
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;26;;2;1;;0;B;1;Man in the middle;0;;1975
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;27;;2;1;;0;A;1;Bang-a-boomerang;182;;1975
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;27;;2;1;;0;B;1;SOS;201;;1975
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;28;;2;1;;0;A;1;Summer night city;214;;1978
Singles;ABBA;;;;;;;;;;;0;;;1;;true;;false;28;;2;1;;0;B;1;Medley;261;;1978
33 t;ABBA;;;;;;;;;;;0;;;1;;true;;false;1;;0;0;;0;A;1;Gimme ! Gimme ! Gimme ! / Knowing me, knowing you / Take a chance on me / Money, money, money / Rock me / Eagle / Angeleyes;0;;
33 t;ABBA;;;;;;;;;;;0;;;1;;true;;false;1;;0;0;;0;B;1;Dancing queen / Does your mother know / Chiquitita / Summer night city / I wonder / The name of the game / Thank you for the music;0;;
45 t;ADAM Adolphe;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;A;1;Giselle;0;;
45 t;ADAM Adolphe;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;B;1;Giselle;0;;
33 t;ADAM Adolphe;;;;;;;;;;;0;;;1;;true;;false;1;;0;0;;0;A;1;Giselle;0;;
33 t;ADAM Adolphe;;;;;;;;;;;0;;;1;;true;;false;1;;0;0;;0;B;1;Giselle;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;1;;2;1;;;A;1;Tombe la neige;175;;1963
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;1;;2;1;;;B;1;Mes mains sur tes hanches;175;;1965
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;2;;;0;;;A;1;Tombe la neige;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;2;;;0;;;B;1;Car je veux;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;3;;;0;;;A;1;Mes mains sur tes hanches;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;3;;;0;;;B;1;Viens ma brune;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;4;;;0;;;A;1;Mes mains sur tes hanches;175;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;4;;;0;;;B;1;Grand-père, grand-mère;140;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;5;;;0;;;A;1;Une mèche de cheveux;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;5;;;0;;;B;1;La complainte des élus;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;6;;;0;;;A;1;Viens ma brune;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;6;;;0;;;B;1;Le barbu sans barbe;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;7;;;0;;;A;1;Le néon;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;7;;;0;;;B;1;Une larme aux nuages;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;8;;;0;;;A;1;C'est ma vie;270;;1975
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;8;;;0;;;B;1;Pour écrire je t'aime;253;;1975
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;9;;;0;;;A;1;Inch'Allah;285;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;9;;;0;;;B;1;Je vous offre;175;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;10;;;0;;;A;1;J'avais oublié que les roses sont roses;200;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;10;;;0;;;B;1;Je n'ouvrirai qu'au soleil;225;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;11;;;0;;;A;1;Mon amour, sors de chez toi;185;;1972
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;11;;;0;;;B;1;Mon amour, mon infidèle;220;;1972
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;12;;;0;;;A;1;Si jamais;165;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;12;;;0;;;B;1;J'ai pas d'mandé la vie;175;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;13;;;0;;;A;1;Sans toi mamie;165;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;13;;;0;;;B;1;Fais-toi croque-mort;145;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;14;;;0;;;A;1;Amour perdu;175;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;14;;;0;;;B;1;J'aime une fleur;142;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;15;;;0;;;A;1;Si tu étais;260;;1977
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;15;;;0;;;B;1;Manuel;430;;1977
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;16;;;0;;;A;1;Valse d'été;195;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;16;;;0;;;B;1;Et sur la mer...;213;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;17;;;0;;;A;1;Le ruisseau de mon enfance;180;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;17;;;0;;;B;1;Il y a juste un an;215;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;18;;;0;;;A;1;Crazy Lue;206;;1973
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;18;;;0;;;B;1;Mon pays;270;;1973
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;19;;;0;;;A;1;Alors...reviens moi;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;20;;;0;;;A;1;Et après;157;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;20;;;0;;;B;1;Gagner du temps;278;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;21;;;0;;;A;1;J'ai trouvé un été;235;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;21;;;0;;;B;1;Le chien;215;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;22;;;0;;;A;1;Le chef de la bande;180;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;22;;;0;;;B;1;Rien ne peut plus m'empêcher ;120;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;23;;;0;;;A;1;La nuit;200;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;23;;;0;;;B;1;Mauvais garçon;187;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;24;;;0;;;A;1;Et t'oublier;0;;
Singles;Adamo Salvatore ;;;;;;;;;;;0;;;;;true;;false;24;;;0;;;B;1;Nous;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;A;1;La nuit;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;A;2;Mauvais garçon;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;B;1;Elle;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;1;;2;1;;0;B;2;Petit camarade;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;2;;2;1;;0;A;1;Mes mains sur tes hanches;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;2;;2;1;;0;A;2;Grand-père, grand-mère;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;2;;2;1;;0;B;1;Viens ma brune;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;2;;2;1;;0;B;2;Le barbu sans barbe;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;3;;2;1;;0;A;1;Amour perdu;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;3;;2;1;;0;A;2;J'aime une fleur;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;3;;2;1;;0;B;1;Crier ton nom;0;;
4 titres;Adamo Salvatore ;;;;;;;;;;;0;;;1;;true;;false;3;;2;1;;0;B;2;N'est-ce pas merveilleux;0;;
